;Wer kämpft, der kann verlieren, wer nicht kämpft, hat schon verloren.
Helen Rowland;Wenn ein Mädchen heiratet, tauscht es die Aufmerksamkeiten vieler Männer gegen die Unaufmerksamkeit eines einzigen ein.
Theodor Heuss;Nie vom andern Dank erwarten, aber immer selbst dankbar sein können, das ist das Privileg einer recht gebauten Seele.
George Bernard Shaw;Der einzige Mensch, der sich vernünftig benimmt, ist mein Schneider. Er nimmt jedesmal neu Maß, wenn er mich trifft, während alle anderen immer die alten Maßstäbe anlegen in der Meinung, sie paßten auch heute noch.
Zarko Petan;Je weniger Hirn man im Kopf hat, desto mehr ist für Dummheiten Platz.
Ivan Nagel;Der Unterschied zwischen Erfolg und Misserfolg ist Penetranz.
Victor Hugo;Manchmal ist der Sieg ein Dieb.
Nelson Mandela;We must use time wisely and forever realize that the time is always ripe to do right.
Matt Butterick;We get the technology we deserve.
Leonardo da Vinci;It is easier to resist at the beginning than at the end.
Jean Cocteau;Die meisten Menschen leben in den Ruinen ihrer Gewohnheiten.
V. Frankl;Live as if you were living for the second time and had acted as wrongly the first time as you are about to act now.
Tomi Ungerer;Ohne Herausforderung kann man nicht stark werden.
Konfuzius;Du kannst den Hahn zwar einsperren, die Sonne geht dennoch auf.
Rumi;Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it.
Heinz von Foerster;Handle stets so, dass die Anzahl der Wahlmöglichkeiten größer wird.
Deepak Chopra;Holding on to anything is like holding on to your breath. You will suffocate. The only way to get anything in the physical universe is by letting go of it. Let go & it will be yours forever.
Douglas Adams;Wer bin ich? Welches Jahr haben wir heute? und...Wo sind meine Unterhosen?
Neale Donald Walsch;The deepest secret is that life is not a process of discovery, but a process of creation. You are not discovering yourself, but creating yourself anew. Seek therefore, not to find out Who You Are, but seek to determine Who You Want to Be.
Elbert Hubbard;You are not punished for your sins, But by them.
Maria Robinson;Nobody can go back and start a new beginning, but anyone can start today and make a new ending.
Deepak Chopra;Whatever relationships you have attracted in your life at this moment, are precisely the ones you need in your life at this moment. There is a hidden meaning behind all events, and this hidden meaning is serving your own evolution.
Buddha;In the end, only three things matter: how much you loved, how gently you lived, and how gracefully you let go of things not meant for you.
Thomas Merton;The beginning of love is to let those we love be perfectly themselves, and not to twist them to fit our own image. Otherwise we love only the reflection of ourselves we find in them.
Eldon Taylor;So, when someone makes a comment or something happens that might produce stress, anger, and so forth, I invoke this little phrase: 'I can't wait to see what good happens from this.' I choose to look at the world as providing everything I need right now. I choose to think that everything that comes to me does so for some good.
Anaïs Nin;Wir sehen die Dinge nicht, wie sie sind, wir sehen sie so, wie wir sind.
Michael Shermer;You can't miss it when I tell you what's there.
Thomas Edison;Vision Without Execution is Hallucination.
Sun Tzu, The Art of War;Who wishes to fight, must first count the cost.
Augustinus;Zeit ist Leben. Leben ist Verantwortung.
George Bernard Shaw;Two things define you. Your patience when you have nothing, and your attitude when you have everything.
;Pain is a Part of healing.
Jimmy Wales;Wissen verbessert die Welt. Menschen müssen aufgrund von Informationen Entscheidungen treffen.
Wolf Biermann;Wer nicht ruht in der Liebe zu einem Menschen, der hat im Streit der Welt sehr schlechte Karten.
Gretchen Rubin;We are happy when our lifes match our values.
Th.Gordon;Macht besteht in der Fähigkeit, einen anderen Menschen zu belohnen oder zu bestrafen. Für Beziehungen ist sie immer destruktiv.
Eva-Maria Zumhorst;Die Wahrheit ist das einzige, was wirklich heilt.
Aristotles;Knowing yourself is the beginning of all wisdom.
Napoleon Hill;One of the most common causes of failure is the habit of quitting when one is overtaken by temporary defeat.
;Lying is for people who can't handle the truth.
Benjamin Franklin;Die schlimmste Entscheidung ist Unentschlossenheit.
Chi-Miigwech;let my dreams be bigger than my fears and my actions louder than my words.
Shams Tabrizi;Just wait a while, turn your back and remember what you have forgotten. Try to find if you've lost, apologize if you've hurt, forgive if you have been hurt. Because life is too short.
philoradio;Die Kopie ist immer schwächer als das Original.
James Victore;Courage is to Love more then you Fear.
Peter Kropotkin;The work is its own reward. To look for more beyond that — its foolish.
Jonatan Martensson;Success will never be a big step in the future, success is a small step taken just now.
Fröbel;Erziehung ist Beispiel und Liebe. Sonst nix.
Mingyur Rinpoche;As long as we don’t recognize our real nature, we suffer. When we recognize our nature, we become free from suffering.
James Victore;The Revolution is you. It isn't something you're going to join or need to be invited to.
Leonard Nemoy;A life is like a garden. Perfect moments can be had, but not preserved, except in memory.
Democritus;Happiness resides not in possessions, and not in gold, happiness dwells in the soul.
Kusan Sunim;The tongue which produces careless speech is like an axe used to kill oneself.
Buddha;An Zorn festhalten ist wie Gift trinken und erwarten, dass der Andere dadurch stirbt.
Zen;Wer siebenmal fällt, muss achtmal aufstehen.
Marquis la Fayette;Das Gedächtnis ersetzt dem Narren den Verstand.
Nagarjuna;Disziplin ist der Boden, auf dem wir gehen.
Ai WeiWei;Ich habe Angst, aber Angst mit Hoffnung. Ich werde nicht zum Opfer meiner Angst. Denn Angst sollte das Leben nicht beherrschen.
Milton Berle;If opportunity doesnt knock, build a door.
Gertrude Stein;We are always the same age inside.
Aldous Huxley;Every man's memory is his private literature.
;Wahr ist, woran wir glauben!
Max Frisch;Irgendwann erfindet jeder die Geschichte, die er für sein Leben hält.
Maharaji;A person does not have to be behind bars to be a prisoner. People can be prisoners of their own concepts and ideas. They can be slaves to their own selves.
Eckhart Tolle;To end the misery that has afflicted the human condition for thousands of years, you have to start with yourself and take responsibility for your inner state at any given moment. That means now.
moodscope;The goal of practice is not perfection, because this is never consistently achievable. The goal of practice is to replace negative habits with positive habits, permanently. There are no short cuts. Practice makes permanent, not perfect.
Dostoevski;There is only one thing that I dread: not to be worthy of my sufferings.
Mark Twain;Keep away from people who try to belittle your ambitions. Small people always do that, but the really great ones make you feel that you too can become great.
Nietzsche;He who has a why to live can bear with almost any how.
Robert Nesta Marley;Money is numbers and numbers never end. If it takes money to be happy, your search for happiness will never end.
Connor Maed;Someone once told me that the power in all relationships lies with whoever cares less, and he was right. But power isnt happiness, and I think that maybe happiness comes from caring more about people rather than less ...
John Wooden;Never mistake activity for achievement.
Swedish proverb;Fear less, hope more. Eat less, chew more. Whine less, breathe more. Talk less, say more. Hate less, love more. And good things will be yours.
Longchenpa;Obwohl die Sonne unserer wahren Natur fortwährend aufgeht, ist sie verschleiert durch die weißen Wolken unserer tugendhaften Taten und die schwarzen Wolken unserer Fehltritte.
Ludwig Feuerbach;Erst durch das DU wird der Mensch zum ICH.
Ray Bradbury;Love what you do and do what you love. Don't listen to anyone else who tells you not to do it. You do what you want, what you love. Imagination should be the center of your life.
Goethe;Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen.
Anatole France;Ironie ist die letzte Phase der Enttäuschung.
Antoine de Saint-Exupery;Love does not consist in gazing at each other, but in looking outward together in the same direction.
Russell Simmons;Operating from a place of needing nothing. Needing nothing attracts everything.
carl jung;Knowing your own darkness is the best method for dealing with the darkness of other people.
Martin Walser;Das Verreisen ist die solideste Illusion, die es gibt.
Andrew Zolli;Wenn wir versuchen, die Zukunft vorauszusagen, gehen wir meist von unseren akuten Ängsten aus.
Benjamin Franklin;Wer die Freiheit aufgibt, um Sicherheit zu gewinnen, wird am Ende beides verlieren.
John F. Kennedy;Things do not happen. Things are made to happen.
Eugene Ostashevsky;Verstehen kommt vom Miteinander-sprechen. Je mehr man miteinander spricht, desto mehr versteht man sich.
Heraklit;You can sit on the banks of a river...You think you are seeing the same river as you are sitting there, but it’s already moved on.
Henri Cartier Bresson;We must take greater care than ever not to allow ourselves to be separated from the real world and from humanity.
OS Samantha in the movie 'HER';The past is just a story we tell ourselves.
Miguel Benasayag;Niemand verdient das, was er hat.
Alfred Selacher;Lebensfreude entgiftet die Umwelt!
John Collins;Greatness is not a matter of circumstances. Its a matter of choice.
R K Greenleaf;Awareness is not a giver of solace - it is just the opposite. It is a disturber and an awakener.
From 'Dune' the Movie;I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing ... Only I will remain.
Jane McGonigal;If you can experience three positive emotions for every one negative emotion, you dramatically improve your health and your ability to successfully tackle any problem you're facing.
Dodinsky;You can find inspiration from others but determination is solely your responsibility.
Tim Wu;Der Wunsch nach Freiheit konkurriert immer mit dem Bedürfnis nach Bequemlichkeit.
Ralph Waldo Emerson;People only see what they are prepared to see.
Immanuel Kant;Handle nur nach derjenigen Maxime, durch die du zugleich wollen kannst, dass sie ein allgemeines Gesetz werde.
Chinesisches Sprichwort;Wer sich mit Anderen vergleicht, stirbt vor Ärger.
Frank Underwood;You cant turn a NO into a YES without a MAYBE in between.
Hartmut Esslinger;Wenn man kein Glück hat, muss man gut vorbereitet sein.
Vera Meinold;Glücklich zu sein ist eine Wahl – kein Schicksal.
Katharina Saalfrank;Bildung ist Beziehung zu sich selbst zu haben.
Henry Ford;Whether you think you can or you cant—either way you are right.
Martin Luther King;Ein wahrer Leader sucht nicht nach einem Konsenz, er gestaltet ihn.
Marie;Man ist zu gut darin, allein zu sein.
Deepak Chopra;You can't make positive choices for the rest of your life without an environment that makes those choices easy, natural, and enjoyable.
Platon;Der höchste Grad von Ungerechtigkeit ist geheuchelte Gerechtigkeit.
Dinos Chapman;Ich bin nicht nostalgisch und ich glaube nicht an den Fortschritt. Es gibt nur die Gegenwart. Die Vergangenheit ist gelogen und die Zukunft ist noch nicht geschehen.
Sandokai;Light and darkness are a pair, like the foot before and the foot behind, in walking.
Paradigm Shift;The fastest way to solve a problem in your life is to take responsibility for it.
Bill Gates;Yesterdays answer has nothing to do with todays problem.
Alexander Issajewitsch Solschenizyn;Man kann Macht über andere Menschen ausüben, solange man ihnen etwas gibt. Nimmt man einem Menschen aber alles, hat man seine Macht über ihn verloren.
Robert Kiyosaki;The size of your success is measured by the strength of your desire, the size of your dream and how you handle disappointment along the way.
Hannibal Lector;I am a source of clarity and stability. I am not your friend.
Elliot in Mr. Robot;Better the devil you know then the devil you don't.
Johnny Häusler;Ich halte ja inzwischen Kunst und Kultur für die wahre Form der Verschlüsselung ...
Jürgen Mittelstraß;Philosophie produziert kein Lehrbuchwissen.
Berthold Brecht;Ändere die Welt, sie braucht es.
Albert Einstein;Any fool can know. The point is to understand.
Bob Dylan;If you don’t underestimate me, I won’t underestimate you.
Stuart Brown;The opposite of play is not work. Its depression.
Leonard Cohen;There is a crack in everything. Thais how the light gets in.
Max Frisch;Eine Verwirrung, der ich nichts entgegenzusetzen habe, ist jederzeit möglich.
Evelyn Waugh;To understand all is to forgive all.
Gandhi;Keep your thoughts positive because your thoughts become your words. Keep your words positive because your words become your behaviors. Keep your behaviors positive because your behaviors become your habits. Keep your habits positive because your habits become your values. Keep your values positive because your values become your destiny.
Robert Orben;Time flies. It's up to you to be the navigator.
Albert Einstein;Everything should be made as simple as possible, but not simpler.
Ram Dass;The spiritual journey is individual, highly personal. It can't be organized or regulated. It isn't true that everyone should follow one path. Listen to your own truth.
Gábor Paál;Vor allem in der Kunst drückt sich das Wir-Gefühl des Menschen aus: Man sucht nach gemeinsamen Absichten und Interessen – im Bereich der Wünsche und Gefühle.
Alf Gordon Shumway;Was sich nicht reparieren lässt, ist nicht kaputt.
;It never gets easier. You just get better.
;Das Land der Seele wird immer weiter je tiefer man blickt.
;Ich habe es immer, in jedem Moment so gut gemacht, wie ich es konnte.
Chi-Miigwech;Let my dreams be bigger than my fears and my actions louder than my words.
;Man ist Teil des Systems, solange man mitmacht.
Bert Lance;If it ain't broke, don't fix it.
;There is only one problem and there is only one Answer. Every problem emerges from the false belief we are separate from one another, and every answer emerges from the realization we are not.
Steve Maraboli;The most liberating and empowering moment for me was when I stopped blaming other people for my unhappiness and realized that my perspective on life is not just the problem, but also the solution!
